"targetID","Indication"
"T00239","Allergic/hypersensitivity disorder [ICD-11: 4A80-4A8Z] Phase 2"
"T00239","Asthma [ICD-11: CA23] Phase 2"
"T00239","Idiopathic interstitial pneumonitis [ICD-11: CB03] Phase 2"
"T00239","Systemic sclerosis [ICD-11: 4A42] Phase 2"
"T00254","Cardiomyopathy [ICD-11: BC43] Preclinical"
"T00254","Postoperative inflammation [ICD-11: 1A00-CA43] Preclinical"
"T00254","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Preclinical"
"T00259","COVID-19 [ICD-11: 1D6Y] Investigative"
"T00259","Severe acute respiratory syndrome [ICD-11: 1D65] Investigative"
"T00419","Motor neuron disease [ICD-11: 8B60] Phase 3"
"T00419","Muscle disorder [ICD-11: FB32-FB3Z] Phase 3"
"T00419","Muscular atrophy [ICD-11: 8B61] Phase 2"
"T00420","Human immunodeficiency virus disease [ICD-11: 1C60-1C62] Phase 1"
"T00477","Neurodegenerative disorder [ICD-11: 8A20-8A23] Investigative"
"T00484","Postoperative inflammation [ICD-11: 1A00-CA43] Phase 3"
"T00484","Diabetes mellitus [ICD-11: 5A10] Investigative"
"T00484","Indeterminate colitis [ICD-11: DD72] Investigative"
"T00484","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Investigative"
"T00494","Coronary atherosclerosis [ICD-11: BA80] Approved"
"T00494","Inborn lipid metabolism error [ICD-11: 5C52] Discontinued in Phase 1"
"T00494","Dyslipidemia [ICD-11: 5C80-5C81] Investigative"
"T00496","Thrombosis [ICD-11: DB61-GB90] Phase 2"
"T00523","Inborn purine/pyrimidine/nucleotide metabolism error [ICD-11: 5C55] Discontinued in Phase 2"
"T00663","CNS birth injury [ICD-11: KA40] Investigative"
"T00749","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 1/2"
"T00750","Fallopian tube cancer [ICD-11: 2C74] Phase 2"
"T00884","Pain [ICD-11: MG30-MG3Z] Approved"
"T00884","Liver vascular disorder [ICD-11: DB98] Phase 3"
"T00884","Medical/surgical procedure injury [ICD-11: PK80-PK81] Phase 3"
"T00884","Transplant rejection [ICD-11: NE84] Phase 3"
"T00884","Chronic obstructive pulmonary disease [ICD-11: CA22] Phase 2"
"T00884","Indeterminate colitis [ICD-11: DD72] Phase 2"
"T00884","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 2"
"T00884","Ulcerative colitis [ICD-11: DD71] Phase 2"
"T00884","Melanoma [ICD-11: 2C30] Phase 1"
"T00884","Myelodysplastic syndrome [ICD-11: 2A37] Phase 1"
"T00884","Gout [ICD-11: FA25] Withdrawn from market"
"T00890","Cardiovascular disease [ICD-11: BA00-BE2Z] Phase 2"
"T00890","Dyslipidemia [ICD-11: 5C80-5C81] Phase 2"
"T00890","Hyper-lipoproteinaemia [ICD-11: 5C80] Phase 2"
"T00890","Psoriasis [ICD-11: EA90] Clinical trial"
"T00895","Anxiety disorder [ICD-11: 6B00-6B0Z] Approved"
"T00895","Liver vascular disorder [ICD-11: DB98] Approved"
"T00895","Malaria [ICD-11: 1F40-1F45] Approved"
"T00895","Alzheimer disease [ICD-11: 8A20] Phase 2"
"T00895","Postoperative inflammation [ICD-11: 1A00-CA43] Terminated"
"T00902","Central nervous system disease [ICD-11: 8A04-8D87] Terminated"
"T00938","Motor neuron disease [ICD-11: 8B60] Phase 2"
"T00938","Multiple sclerosis [ICD-11: 8A40] Phase 2"
"T00938","Tonus and reflex abnormality [ICD-11: MB47] Phase 2"
"T00938","Melanoma [ICD-11: 2C30] Phase 1"
"T00972","Human immunodeficiency virus disease [ICD-11: 1C60-1C62] Approved"
"T01003","Breast cancer [ICD-11: 2C60-2C6Y] Phase 1/2"
"T01003","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Investigative"
"T01011","Lung cancer [ICD-11: 2C25] Phase 2"
"T01110","Bone/articular cartilage neoplasm [ICD-11: 2F7B] Phase 2"
"T01110","Breast cancer [ICD-11: 2C60-2C6Y] Phase 2"
"T01110","Hodgkin lymphoma [ICD-11: 2B30] Phase 2"
"T01110","Metastatic tumour [ICD-11: 2D50-2E2Z] Phase 2"
"T01110","Rheumatoid arthritis [ICD-11: FA20] Phase 2"
"T01110","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 2"
"T01110","Diabetes mellitus [ICD-11: 5A10] Phase 1/2"
"T01110","Inflammatory arthropathy [ICD-11: FA2Z] Phase 1/2"
"T01141","Liver cancer [ICD-11: 2C12] Investigative"
"T01232","Transplant rejection [ICD-11: NE84] Phase 3"
"T01232","Diabetes mellitus [ICD-11: 5A10] Phase 2"
"T01232","Diffuse large B-cell lymphoma [ICD-11: 2A81] Phase 2"
"T01232","Heart failure [ICD-11: BD10-BD1Z] Phase 2"
"T01232","Hodgkin lymphoma [ICD-11: 2B30] Phase 2"
"T01232","Immunoproliferative disorder [ICD-11: 2B32] Phase 2"
"T01232","Lymphoma [ICD-11: 2A80-2A86] Phase 2"
"T01232","Renal cell carcinoma [ICD-11: 2C90] Phase 2"
"T01232","Acute myeloid leukaemia [ICD-11: 2A60] Phase 1/2"
"T01232","Immunodeficiency [ICD-11: 4A00-4A85] Phase 1/2"
"T01232","Low bone mass disorder [ICD-11: FB83] Phase 1/2"
"T01232","Mature B-cell lymphoma [ICD-11: 2A85] Phase 1/2"
"T01232","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 1/2"
"T01232","Transplanted organ/tissue [ICD-11: QB63] Phase 1/2"
"T01232","Multiple sclerosis [ICD-11: 8A40] Phase 1"
"T01271","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Investigative"
"T01280","Urinary system clinical sympton [ICD-11: MF8Y] Clinical trial"
"T01283","Influenza [ICD-11: 1E30-1E32] Phase 1"
"T01318","Fungal infection [ICD-11: 1F29-1F2F] Approved"
"T01318","Hepatitis virus infection [ICD-11: 1E50-1E51] Approved"
"T01318","Hyper-lipoproteinaemia [ICD-11: 5C80] Approved"
"T01318","Malaria [ICD-11: 1F40-1F45] Approved"
"T01318","Multiple sclerosis [ICD-11: 8A40] Approved"
"T01318","Rheumatoid arthritis [ICD-11: FA20] Approved"
"T01318","Lung cancer [ICD-11: 2C25] Phase 3"
"T01318","Nasopharyngeal cancer [ICD-11: 2B6B] Phase 3"
"T01358","Breast cancer [ICD-11: 2C60-2C6Y] Phase 2"
"T01385","COVID-19 [ICD-11: 1D6Y] Investigative"
"T01447","BCR-ABL1-negative chronic myeloid leukaemia [ICD-11: 2A41] Phase 3"
"T01447","Myelodysplastic syndrome [ICD-11: 2A37] Phase 3"
"T01447","Nasopharyngeal cancer [ICD-11: 2B6B] Phase 3"
"T01447","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 3"
"T01521","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Preclinical"
"T01575","Congenital ichthyosis [ICD-11: EC20] Phase 2"
"T01575","Rheumatoid arthritis [ICD-11: FA20] Phase 2"
"T01575","Diabetes mellitus [ICD-11: 5A10] Terminated"
"T01597","Skin sensation disturbance [ICD-11: ME65] Phase 1"
"T01674","Inherited retinal dystrophy [ICD-11: 9B70] Phase 2/3"
"T01777","Glaucoma [ICD-11: 9C61] Approved"
"T01777","Herpes simplex infection [ICD-11: 1F00] Approved"
"T01777","Hypertension [ICD-11: BA00-BA04] Approved"
"T01777","Hypotension [ICD-11: BA20-BA21] Approved"
"T01777","Obesity [ICD-11: 5B80-5B81] Approved"
"T01777","Substance abuse [ICD-11: 6C40] Approved"
"T01777","Vasomotor/allergic rhinitis [ICD-11: CA08] Phase 4"
"T01777","Chronic pain [ICD-11: MG30] Phase 3"
"T01777","Dissociative neurological symptom disorder [ICD-11: 6B60] Phase 3"
"T01777","Post-traumatic stress disorder [ICD-11: 6B40] Phase 3"
"T01777","Alzheimer disease [ICD-11: 8A20] Phase 2"
"T01777","Chronic arterial occlusive disease [ICD-11: BD4Z] Phase 2"
"T01777","Chronic kidney disease [ICD-11: GB61] Phase 2"
"T01777","General pain disorder [ICD-11: 8E43] Phase 2"
"T01777","Non-specific cutaneous vascular sympton [ICD-11: ME64] Phase 2"
"T01777","Pain [ICD-11: MG30-MG3Z] Phase 2"
"T01777","Peptic ulcer [ICD-11: DA61] Discontinued in Preregistration"
"T01777","Depression [ICD-11: 6A70-6A7Z] Discontinued in Phase 3"
"T01777","Heart failure [ICD-11: BD10-BD1Z] Discontinued in Phase 3"
"T01777","Orgasmic dysfunction [ICD-11: HA02] Discontinued in Phase 3"
"T01777","Acute diabete complication [ICD-11: 5A2Y] Discontinued in Phase 2"
"T01777","Prostate disease [ICD-11: GA91] Discontinued in Phase 2"
"T01777","Sexual dysfunction [ICD-11: HA00-HA01] Discontinued in Phase 2"
"T01777","Coronavirus infection [ICD-11: 1D92] Preclinical"
"T01777","Asthma [ICD-11: CA23] Terminated"
"T01777","Genetic cardiac arrhythmia [ICD-11: BC65] Terminated"
"T01777","Dementia [ICD-11: 6D80-6D8Z] Investigative"
"T01777","Unspecific body region injury [ICD-11: ND56] Investigative"
"T01777","Unspecific substance harmful effect [ICD-11: NE6Z] Investigative"
"T01788","COVID-19 [ICD-11: 1D6Y] Investigative"
"T01822","Malaria [ICD-11: 1F40-1F45] Phase 2"
"T01840","Alpha-1-antitrypsin deficiency [ICD-11: 5C5A] Approved"
"T01840","Atopic eczema [ICD-11: EA80] Phase 2"
"T01840","Coagulation defect [ICD-11: 3B10] Phase 2"
"T01840","Chronic obstructive pulmonary disease [ICD-11: CA22] Phase 1"
"T01840","Alzheimer disease [ICD-11: 8A20] Terminated"
"T01840","Cystic fibrosis [ICD-11: CA25] Terminated"
"T01840","Rheumatoid arthritis [ICD-11: FA20] Terminated"
"T01840","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Terminated"
"T01851","Lung cancer [ICD-11: 2C25] Phase 1/2"
"T01851","Brain cancer [ICD-11: 2A00] Phase 1"
"T01851","Retinopathy [ICD-11: 9B71] Phase 1"
"T01865","Malaria [ICD-11: 1F40-1F45] Investigative"
"T01908","Innate/adaptive immunodeficiency [ICD-11: 4A00] Phase 2/3"
"T01908","Epidermal dysplasias [ICD-11: EK90] Phase 2"
"T01908","Prostate cancer [ICD-11: 2C82] Phase 1"
"T01908","Atopic eczema [ICD-11: EA80] Discontinued in Phase 2"
"T01943","Hepatic fibrosis/cirrhosis [ICD-11: DB93] Phase 3"
"T01973","Alzheimer disease [ICD-11: 8A20] Phase 1/2"
"T01973","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Investigative"
"T02001","Tonus and reflex abnormality [ICD-11: MB47] Approved"
"T02001","Asthma [ICD-11: CA23] Phase 3"
"T02001","Mild neurocognitive disorder [ICD-11: 6D71] Phase 3"
"T02001","Alzheimer disease [ICD-11: 8A20] Phase 2"
"T02001","Atopic eczema [ICD-11: EA80] Phase 2"
"T02001","Chronic obstructive pulmonary disease [ICD-11: CA22] Phase 2"
"T02001","Crohn disease [ICD-11: DD70] Phase 2"
"T02001","Psoriasis [ICD-11: EA90] Phase 2"
"T02001","Rheumatoid arthritis [ICD-11: FA20] Phase 2"
"T02001","Choreiform disorder [ICD-11: 8A01] Phase 1"
"T02001","Mood disorder [ICD-11: 6A60-6E23] Phase 1"
"T02001","Parkinsonism [ICD-11: 8A00] Phase 1"
"T02001","Multiple sclerosis [ICD-11: 8A40] Discontinued in Phase 2"
"T02001","Mycosis fungoides [ICD-11: 2B01] Discontinued in Phase 1"
"T02001","Allergic/hypersensitivity disorder [ICD-11: 4A80-4A8Z] Terminated"
"T02001","Amyloidosis [ICD-11: 5D00] Terminated"
"T02001","Chronic arterial occlusive disease [ICD-11: BD4Z] Terminated"
"T02001","Acute upper respiratory infection [ICD-11: CA07] Investigative"
"T02001","Mature B-cell leukaemia [ICD-11: 2A82] Investigative"
"T02001","Pneumonia [ICD-11: CA40] Investigative"
"T02001","Postoperative inflammation [ICD-11: 1A00-CA43] Investigative"
"T02001","Vitamin deficiency [ICD-11: 5B55-5B5F] Investigative"
"T02024","COVID-19 [ICD-11: 1D6Y] Phase 1 Trial"
"T02024","Hepatitis virus infection [ICD-11: 1E50-1E51] Phase 1 Trial"
"T02024","Middle East Respiratory Syndrome [ICD-11: 1D64] Phase 1 Trial"
"T02024","Severe acute respiratory syndrome [ICD-11: 1D65] Phase 1 Trial"
"T02107","COVID-19 [ICD-11: 1D6Y] Phase 3 Trial"
"T02119","Lysosomal disease [ICD-11: 5C56] Approved"
"T02122","COVID-19 [ICD-11: 1D6Y] Phase 2 Trial"
"T02134","Malaria [ICD-11: 1F40-1F45] Investigative"
"T02134","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Investigative"
"T02203","COVID-19 [ICD-11: 1D6Y] Preclinical"
"T02226","COVID-19 [ICD-11: 1D6Y] Phase 2/3 Trial"
"T02228","Otitis externa [ICD-11: AA00-AA13] Phase 3"
"T02228","Bacterial infection [ICD-11: 1A00-1C4Z] Investigative"
"T02246","Low bone mass disorder [ICD-11: FB83] Approved"
"T02246","Mineral absorption/transport disorder [ICD-11: 5C64] Approved"
"T02246","Thalassaemia [ICD-11: 3A50] Approved"
"T02246","Iron deficiency anaemia [ICD-11: 3A00] Phase 3"
"T02246","Anemia [ICD-11: 3A00-3A9Z] Phase 2"
"T02246","Cardiovascular disease [ICD-11: BA00-BE2Z] Phase 1"
"T02246","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 1"
"T02258","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 3"
"T02262","Acute myeloid leukaemia [ICD-11: 2A60] Phase 2"
"T02262","Hodgkin lymphoma [ICD-11: 2B30] Phase 2"
"T02318","Lupus erythematosus [ICD-11: 4A40] Approved"
"T02318","Multiple myeloma [ICD-11: 2A83] Phase 3"
"T02318","Rheumatoid arthritis [ICD-11: FA20] Discontinued in Phase 2"
"T02318","Thrombocytopenia [ICD-11: 3B64] Discontinued in Phase 2"
"T02318","Lymphoma [ICD-11: 2A80-2A86] Discontinued in Phase 1"
"T02333","Pituitary gland disorder [ICD-11: 5A60-5A61] Approved"
"T02333","Binge eating disorder [ICD-11: 6B82] Phase 1"
"T02333","Short stature [ICD-11: 5B11] Phase 1"
"T02333","Obesity [ICD-11: 5B80-5B81] Discontinued in Phase 2"
"T02389","COVID-19 [ICD-11: 1D6Y] Phase 3 Trial"
"T02392","COVID-19 [ICD-11: 1D6Y] Preclinical"
"T02469","Malignant haematopoietic neoplasm [ICD-11: 2B33] Phase 2"
"T02469","Mature B-cell leukaemia [ICD-11: 2A82] Phase 2"
"T02506","COVID-19 [ICD-11: 1D6Y] Investigative"
"T02532","Lymphoma [ICD-11: 2A80-2A86] Phase 2"
"T02532","Psoriasis [ICD-11: EA90] Phase 2"
"T02546","Musculoskeletal disorder [ICD-11: FA00-FC0Z] Phase 3"
"T02546","Dissociative neurological symptom disorder [ICD-11: 6B60] Discontinued in Phase 2"
"T02546","Pain [ICD-11: MG30-MG3Z] Investigative"
"T02551","Bipolar disorder [ICD-11: 6A60] Approved"
"T02551","Parkinsonism [ICD-11: 8A00] Approved"
"T02551","Schizophrenia [ICD-11: 6A20] Phase 3"
"T02551","Alzheimer disease [ICD-11: 8A20] Phase 2"
"T02551","Attention deficit hyperactivity disorder [ICD-11: 6A05] Phase 2"
"T02551","Brain cancer [ICD-11: 2A00] Phase 2"
"T02551","Depression [ICD-11: 6A70-6A7Z] Phase 2"
"T02551","Endometrial cancer [ICD-11: 2C76] Phase 2"
"T02551","Gastroduodenal motor/secretory disorder [ICD-11: DA41] Phase 2"
"T02551","Leukaemia [ICD-11: 2A60-2B33] Phase 2"
"T02551","Lymphoma [ICD-11: 2A80-2A86] Phase 2"
"T02551","Multiple myeloma [ICD-11: 2A83] Phase 2"
"T02551","Psychoactive substances use disorder [ICD-11: 6C4G] Phase 2"
"T02551","Respiratory infection [ICD-11: CA07-CA4Z] Phase 2"
"T02551","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 2"
"T02551","Stomach cancer [ICD-11: 2B72] Phase 2"
"T02551","Nasopharyngeal cancer [ICD-11: 2B6B] Phase 1"
"T02551","Sexual dysfunction [ICD-11: HA00-HA01] Phase 1"
"T02551","Orgasmic dysfunction [ICD-11: HA02] Discontinued in Phase 3"
"T02551","Cocaine use disorder [ICD-11: 6C45] Discontinued in Phase 2"
"T02551","Psychotic disorder [ICD-11: 6A20-6A25] Discontinued in Phase 2"
"T02551","Nausea/vomiting [ICD-11: MD90] Terminated"
"T02551","Nicotine use disorder [ICD-11: 6C4A] Terminated"
"T02551","Unspecific substance use disorder [ICD-11: 6C4Z] Terminated"
"T02551","Oesophagus motility disorder [ICD-11: DA21] Investigative"
"T02562","Alzheimer disease [ICD-11: 8A20] Phase 1"
"T02562","Circulatory system disease [ICD-11: BE2Z] Patented"
"T02562","Joint pain [ICD-11: ME82] Patented"
"T02562","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Patented"
"T02584","HIV-infected patients with tuberculosis [ICD-11: 1B10-1B14] Phase 2"
"T02591","Human immunodeficiency virus disease [ICD-11: 1C60-1C62] Phase 1"
"T02598","Postoperative inflammation [ICD-11: 1A00-CA43] Phase 1"
"T02617","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 1"
"T02653","COVID-19 [ICD-11: 1D6Y] Investigative"
"T02677","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 3"
"T02677","Brain cancer [ICD-11: 2A00] Phase 2"
"T02677","Multiple myeloma [ICD-11: 2A83] Phase 2"
"T02677","Lung cancer [ICD-11: 2C25] Phase 1/2"
"T02702","Bacterial infection [ICD-11: 1A00-1C4Z] Phase 3"
"T02702","Pneumonia [ICD-11: CA40] Phase 3"
"T02703","Osteoarthritis [ICD-11: FA00-FA05] Phase 3"
"T02703","Sepsis [ICD-11: 1G40-1G41] Phase 3"
"T02703","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 3"
"T02703","Chronic kidney disease [ICD-11: GB61] Phase 2/3"
"T02703","Asthma [ICD-11: CA23] Phase 2"
"T02703","Bowel habit change [ICD-11: ME05] Phase 2"
"T02703","Cardiovascular disease [ICD-11: BA00-BE2Z] Phase 2"
"T02703","Pain [ICD-11: MG30-MG3Z] Phase 2"
"T02703","Coronary atherosclerosis [ICD-11: BA80] Phase 1/2"
"T02703","Insulin-resistance syndrome [ICD-11: 5A44] Phase 1"
"T02703","Retinopathy [ICD-11: 9B71] Phase 1"
"T02703","Rheumatoid arthritis [ICD-11: FA20] Phase 1"
"T02703","Arteries/arterioles disorder [ICD-11: BD52] Discontinued in Phase 1"
"T02703","Postoperative inflammation [ICD-11: 1A00-CA43] Investigative"
"T02719","Schizophrenia [ICD-11: 6A20] Phase 3"
"T02719","Alzheimer disease [ICD-11: 8A20] Phase 2"
"T02719","Depression [ICD-11: 6A70-6A7Z] Phase 2"
"T02719","Obesity [ICD-11: 5B80-5B81] Phase 2"
"T02719","Psychotic disorder [ICD-11: 6A20-6A25] Phase 2"
"T02719","Anxiety disorder [ICD-11: 6B00-6B0Z] Discontinued in Phase 3"
"T02719","Mood disorder [ICD-11: 6A60-6E23] Discontinued in Phase 2"
"T02728","Indeterminate colitis [ICD-11: DD72] Phase 2/3"
"T02728","Acute/chronic pain [ICD-11: MG30-MG31] Terminated"
"T02728","Pain [ICD-11: MG30-MG3Z] Terminated"
"T02728","Dissociative neurological symptom disorder [ICD-11: 6B60] Investigative"
"T02728","Substance abuse [ICD-11: 6C40] Investigative"
"T02752","Asthma [ICD-11: CA23] Discontinued in Phase 1"
"T02752","Vasomotor/allergic rhinitis [ICD-11: CA08] Discontinued in Phase 1"
"T02777","Acute diabete complication [ICD-11: 5A2Y] Approved"
"T02777","Angina pectoris [ICD-11: BA40] Approved"
"T02777","Type 2 diabetes mellitus [ICD-11: 5A11] Approved"
"T02777","Multiple sclerosis [ICD-11: 8A40] Discontinued in Phase 1"
"T02779","Cystic fibrosis [ICD-11: CA25] Phase 3"
"T02779","Epilepsy/seizure [ICD-11: 8A61-8A6Z] Phase 3"
"T02779","Eye anterior segment structural developmental anomaly [ICD-11: LA11] Phase 3"
"T02779","Lysosomal disease [ICD-11: 5C56] Phase 3"
"T02779","Muscular dystrophy [ICD-11: 8C70] Phase 3"
"T02808","Multiple sclerosis [ICD-11: 8A40] Approved"
"T02808","Type 2 diabetes mellitus [ICD-11: 5A11] Approved"
"T02808","Intrathoracic organs injury [ICD-11: NB32] Phase 3"
"T02808","Lupus erythematosus [ICD-11: 4A40] Phase 2"
"T02808","Rheumatoid arthritis [ICD-11: FA20] Phase 2"
"T02808","Skin fungal infection disorder [ICD-11: EA60] Phase 2"
"T02808","Brain cancer [ICD-11: 2A00] Phase 1"
"T02808","Diabetes mellitus [ICD-11: 5A10] Terminated"
"T02918","COVID-19 [ICD-11: 1D6Y] Phase 2 Trial"
"T02957","COVID-19 [ICD-11: 1D6Y] Investigative"
"T02974","Lung cancer [ICD-11: 2C25] Phase 1"
"T03006","Cervical cancer [ICD-11: 2C77] Approved"
"T03006","Mild neurocognitive disorder [ICD-11: 6D71] Discontinued in Phase 1"
"T03006","Postoperative inflammation [ICD-11: 1A00-CA43] Discontinued in Phase 1"
"T03046","Pancreatic cancer [ICD-11: 2C10] Phase 2"
"T03189","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 1/2"
"T03189","Malignant haematopoietic neoplasm [ICD-11: 2B33] Phase 1"
"T03279","Mature B-cell leukaemia [ICD-11: 2A82] Preclinical"
"T03313","Transplant rejection [ICD-11: NE84] Approved"
"T03313","Human immunodeficiency virus disease [ICD-11: 1C60-1C62] Phase 2"
"T03313","Mature B-cell leukaemia [ICD-11: 2A82] Phase 2"
"T03313","Hodgkin lymphoma [ICD-11: 2B30] Phase 1"
"T03313","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 1"
"T03313","Diabetes mellitus [ICD-11: 5A10] Terminated"
"T03346","Asthma [ICD-11: CA23] Approved"
"T03346","Atopic eczema [ICD-11: EA80] Approved"
"T03346","Idiopathic interstitial pneumonitis [ICD-11: CB03] Phase 2"
"T03346","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 2"
"T03346","Systemic sclerosis [ICD-11: 4A42] Phase 2"
"T03403","Cardiovascular disease [ICD-11: BA00-BE2Z] Approved"
"T03403","Cerebral ischaemia [ICD-11: 8B1Z] Approved"
"T03403","Hyper-lipoproteinaemia [ICD-11: 5C80] Approved"
"T03403","Inflammatory spondyloarthritis [ICD-11: FA92] Approved"
"T03403","Inherited coagulation factor deficiency [ICD-11: 3B14] Approved"
"T03403","Joint pain [ICD-11: ME82] Approved"
"T03403","Migraine [ICD-11: 8A80] Approved"
"T03403","Myocardial infarction [ICD-11: BA41-BA43] Approved"
"T03403","Osteoarthritis [ICD-11: FA00-FA05] Approved"
"T03403","Otitis media [ICD-11: AA80-AB0Z] Approved"
"T03403","Pain [ICD-11: MG30-MG3Z] Approved"
"T03403","Postoperative inflammation [ICD-11: 1A00-CA43] Approved"
"T03403","Rheumatoid arthritis [ICD-11: FA20] Approved"
"T03403","Spinal pain [ICD-11: ME84] Approved"
"T03403","Atopic eczema [ICD-11: EA80] Phase 2"
"T03403","Parkinsonism [ICD-11: 8A00] Phase 2"
"T03403","Reactive arthropathy [ICD-11: FA11] Phase 2"
"T03403","Type 2 diabetes mellitus [ICD-11: 5A11] Phase 2"
"T03403","Urinary system disease [ICD-11: GC2Z] Phase 2"
"T03403","Indeterminate colitis [ICD-11: DD72] Phase 1"
"T03403","Qualitative platelet defect [ICD-11: 3B62] Discontinued in Phase 3"
"T03403","Chemotherapy/radiotherapy-induced mucositis [ICD-11: DA42-DA60] Discontinued in Phase 2"
"T03403","Female pelvic pain [ICD-11: GA34] Discontinued in Phase 2"
"T03403","Immune system disease [ICD-11: 4A01-4B41] Discontinued in Phase 2"
